LST,area,date
27.966830188679268,Gota,2022-12-27
25.957773584905688,Gota,2023-01-01
26.87241509433963,Gota,2023-01-09
26.50992452830192,Gota,2023-01-17
26.485295597484303,Gota,2023-01-25
30.798578616352227,Gota,2023-02-02
33.20122012578619,Gota,2023-02-10
34.79138364779875,Gota,2023-02-18
35.69498113207549,Gota,2023-02-26
35.64522012578618,Gota,2023-03-06
37.00826415094343,Gota,2023-03-14
37.114075471698136,Gota,2023-03-22
38.86778616352204,Gota,2023-03-30
42.01732075471701,Gota,2023-04-07
43.316993710691854,Gota,2023-04-15
41.707232704402536,Gota,2023-04-23
40.58479245283021,Gota,2023-05-01
46.324842767295614,Gota,2023-05-09
44.004389937106936,Gota,2023-05-17
38.83719496855349,Gota,2023-05-25
37.769345911949706,Gota,2023-06-02
37.31588679245287,Gota,2023-06-10
36.39385704302689,Gota,2023-06-18
35.47182729360092,Gota,2023-06-26
34.549797544174936,Gota,2023-07-04
33.627767794748955,Gota,2023-07-12
32.705738045322974,Gota,2023-07-20
31.783708295897,Gota,2023-07-28
30.86167854647102,Gota,2023-08-05
29.93964879704504,Gota,2023-08-13
29.01761904761906,Gota,2023-08-21
35.621547169811336,Gota,2023-08-29
34.652090636572055,Gota,2023-09-06
33.68263410333278,Gota,2023-09-14
32.7131775700935,Gota,2023-09-22
32.80408805031449,Gota,2023-09-30
33.135911949685564,Gota,2023-10-08
34.26018867924532,Gota,2023-10-16
33.599735849056614,Gota,2023-10-24
32.99981132075475,Gota,2023-11-01
32.57832704402518,Gota,2023-11-09
30.522955974842795,Gota,2023-11-17
26.17583647798745,Gota,2023-11-25
26.25067924528304,Gota,2023-12-03
27.33709433962266,Gota,2023-12-11
26.6744528301887,Gota,2023-12-19
26.90620689655176,Gota,2023-12-27
24.0984779874214,Gota,2024-01-01
27.09455345911951,Gota,2024-01-09
25.208440251572345,Gota,2024-01-17
26.48856603773586,Gota,2024-01-25
30.06901886792455,Gota,2024-02-02
30.586503144654124,Gota,2024-02-10
31.92798742138368,Gota,2024-02-18
31.363761006289323,Gota,2024-02-26
33.65176100628933,Gota,2024-03-05
35.426125786163546,Gota,2024-03-13
37.9567672955975,Gota,2024-03-21
35.962603773584924,Gota,2024-03-29
38.74564779874217,Gota,2024-04-06
40.563182389937126,Gota,2024-04-14
41.79930817610066,Gota,2024-04-22
42.74776100628934,Gota,2024-04-30
41.083257861635246,Gota,2024-05-08
39.863358490566064,Gota,2024-05-16
39.82771069182393,Gota,2024-05-24
39.69299371069185,Gota,2024-06-01
38.91347169811323,Gota,2024-06-09
37.94855334538882,Gota,2024-06-17
35.83994981685774,Gota,2024-06-25
