area,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndvi_count,date
Gota,0.2598200436742533,0.2267400028373747,0.2935564899674956,0.03804196003914733,4,2025-05-01
Gota,0.4205292162452001,0.3714701737285767,0.4504690207396878,0.027745294397671174,10,2025-10-01
Gota,0.3827459246282138,0.3375138472210158,0.418055695956132,0.026252112122629467,10,2025-11-01
Gota,0.3250915105888903,0.3065591706048491,0.3449991054398066,0.011372885905063579,12,2025-12-01
Gota,0.29652627777465046,0.2823576898873646,0.3116900290631618,0.011023823394322977,10,2026-01-01
Gota,0.263032916345271,0.2074431004930549,0.2822583849086238,0.0295042125755934,10,2026-02-01
Gota,0.2695272010255401,0.2566135712547576,0.2797466328090272,0.007863245108047598,10,2026-03-01
Isanpur,0.11705542314612673,0.1107104601682571,0.1273794298410027,0.007728033626783181,6,2018-01-01
Isanpur,0.10681810484750782,0.1019997865281882,0.1096525258794593,0.0030070808509701326,8,2018-02-01
Isanpur,0.11643173911814197,0.1086452347975967,0.1248956932733341,0.0071971636123223616,6,2018-03-01
Isanpur,0.09091374380644904,0.0907822292188269,0.0910452583940712,0.00018598971346515643,2,2018-04-01
Isanpur,0.09542923201287683,0.0908151386039384,0.1001104249463703,0.0052269476058520205,4,2018-05-01
Isanpur,0.10856365468624378,0.0747490948109989,0.1299121957703843,0.026293565609027104,6,2018-10-01
Isanpur,0.11574260041387306,0.1066215190979905,0.1213636537262338,0.0069569376922139,6,2018-11-01
Isanpur,0.11124131808203018,0.0961917185782243,0.1209526693564091,0.010957187389049685,12,2018-12-01
Isanpur,0.10668148069947417,0.0881795380576402,0.1166323183571017,0.011046765015653166,10,2019-01-01
Isanpur,0.0942609848082273,0.0820235892555331,0.1041935089079287,0.009140620978476646,12,2019-02-01
Isanpur,0.10083542840634009,0.0848057606845612,0.1116459076397031,0.00807079244688089,12,2019-03-01
Isanpur,0.09905103448581058,0.0915583924436266,0.1107618270643225,0.006667973525800837,12,2019-04-01
Isanpur,0.08840196854488695,0.0714205308588172,0.0973114151904308,0.008297601968625012,12,2019-05-01
Isanpur,0.07614987499905182,-0.0832305450984308,0.1377053264486946,0.09799581387658046,8,2019-10-01
Isanpur,0.0976944665647366,0.0639762769548139,0.1257168381156309,0.024323080747272623,10,2019-11-01
Isanpur,0.09931669062407109,0.0749729698193698,0.1181849012662674,0.015469950567884442,10,2019-12-01
Isanpur,0.07500678961544051,0.01497826457178,0.1085501611870379,0.045845855352925936,6,2020-01-01
Isanpur,0.10362374133063106,0.0947973686982171,0.1098678883780216,0.005044604594944357,12,2020-02-01
Isanpur,0.10261346133956956,0.064494540624978,0.113761910708557,0.015062737356252444,9,2020-03-01
Isanpur,0.09755188750023396,0.0776410152406704,0.1122796010006499,0.011990898132578972,12,2020-04-01
Isanpur,0.08597876222515125,0.069093523009086,0.1000215833740615,0.012582605755720812,10,2020-05-01
Isanpur,0.11388213457011272,0.035739320745123,0.136015816865259,0.040702111307715866,10,2020-10-01
Isanpur,0.12193278694201082,0.1029745930864371,0.1328984058927576,0.011094082739706107,10,2020-11-01
Isanpur,0.11447398701305095,0.0758056735090612,0.1316575485600078,0.018676468895184997,12,2020-12-01
Isanpur,0.10083245865972586,0.0629079736883655,0.1181097284001759,0.020935685264169408,10,2021-01-01
Isanpur,0.11113147038724273,0.0994767966558311,0.1203952995939381,0.0070861160242226134,10,2021-02-01
Isanpur,0.10839465835294386,0.0978370714598602,0.1185638632440048,0.007904267034889815,10,2021-03-01
Isanpur,0.10070334292689319,0.0870482060725706,0.1111319217572903,0.009710014352117546,12,2021-04-01
Isanpur,0.08477248637398453,0.0473845766528232,0.0933845634828326,0.016576330409226434,7,2021-05-01
Isanpur,0.1324252090616356,0.1231627574438867,0.1428144652063777,0.008566855828081614,6,2021-10-01
Isanpur,0.11847647821883148,0.1057293959538743,0.139920141777107,0.012921757534261303,10,2021-11-01
Isanpur,0.1009937796586299,0.0662753482146284,0.1338106932303817,0.02144470231732696,7,2021-12-01
Isanpur,0.09383917109346623,0.0628715670309218,0.1196912903878254,0.027281460367011665,8,2022-01-01
Isanpur,0.10347486729116473,0.0705160642371384,0.1142718368336347,0.01529690429873722,12,2022-02-01
Isanpur,0.11004106640301659,0.1056608068946374,0.1148461858391235,0.0037041620535810935,8,2022-03-01
Isanpur,0.11132661208610209,0.1011981618271829,0.1290342450466763,0.010101057658008542,9,2022-04-01
Isanpur,0.08807177608080347,0.081907940911236,0.0921121535556765,0.003785559914385584,8,2022-05-01
Isanpur,0.13281758423275572,0.1139378202472892,0.1385286672577712,0.009690412563968048,10,2022-10-01
Isanpur,0.12009164650581469,0.1004608740234551,0.133029932661769,0.010827510704338655,10,2022-11-01
Isanpur,0.10808028663345218,0.0663829917172944,0.1296726008314279,0.024452404085239382,10,2022-12-01
