NDVI,area,date
0.3293631468136411,Prahlad Nagar,2025-11-12
0.3251649198300275,Prahlad Nagar,2025-11-12
0.3286500414147457,Prahlad Nagar,2025-11-17
0.3274225576103021,Prahlad Nagar,2025-11-17
0.2818216383832134,Prahlad Nagar,2025-11-22
0.2919893136011984,Prahlad Nagar,2025-11-22
0.3518896173194407,Prahlad Nagar,2025-11-22
0.2987173171282081,Prahlad Nagar,2025-11-22
0.2769628449759838,Prahlad Nagar,2025-12-02
0.2780694183401123,Prahlad Nagar,2025-12-02
0.3172093717845811,Prahlad Nagar,2025-12-07
0.3137326530123213,Prahlad Nagar,2025-12-07
0.3034114100670531,Prahlad Nagar,2025-12-12
0.3013666435708822,Prahlad Nagar,2025-12-12
0.2931659950724995,Prahlad Nagar,2025-12-17
0.2915506678521536,Prahlad Nagar,2025-12-17
0.2941201217072969,Prahlad Nagar,2025-12-19
0.2913165583541647,Prahlad Nagar,2025-12-19
0.2751186310881461,Prahlad Nagar,2025-12-27
0.2738634348528936,Prahlad Nagar,2025-12-27
0.2841762867105669,Prahlad Nagar,2026-01-06
0.2841704807393522,Prahlad Nagar,2026-01-06
0.2501062396575571,Prahlad Nagar,2026-01-08
0.2524214199098797,Prahlad Nagar,2026-01-08
0.2730461269293931,Prahlad Nagar,2026-01-11
0.2762625976701851,Prahlad Nagar,2026-01-11
0.2652161584609463,Prahlad Nagar,2026-01-16
0.2624938614807128,Prahlad Nagar,2026-01-16
0.2489345761139985,Prahlad Nagar,2026-01-21
0.2502722908822171,Prahlad Nagar,2026-01-21
0.1988164484712303,Prahlad Nagar,2026-02-05
0.1903139877936146,Prahlad Nagar,2026-02-05
0.2433096290991414,Prahlad Nagar,2026-02-10
0.2440220232959092,Prahlad Nagar,2026-02-10
0.2465845804258561,Prahlad Nagar,2026-02-15
0.244819000903302,Prahlad Nagar,2026-02-15
0.1767275175501923,Prahlad Nagar,2026-02-20
0.1766275898155559,Prahlad Nagar,2026-02-20
0.242041419599285,Prahlad Nagar,2026-02-25
0.2416486908141955,Prahlad Nagar,2026-02-25
0.2704455884080913,Prahlad Nagar,2026-03-02
0.2707931801015751,Prahlad Nagar,2026-03-02
0.2838074140058383,Prahlad Nagar,2026-03-07
0.2838874259781315,Prahlad Nagar,2026-03-07
0.2738886910397473,Prahlad Nagar,2026-03-09
0.2740800186032876,Prahlad Nagar,2026-03-09
0.2739710522570383,Prahlad Nagar,2026-03-12
0.2748280620506551,Prahlad Nagar,2026-03-12
0.2631256877523954,Prahlad Nagar,2026-03-17
0.2633597546521427,Prahlad Nagar,2026-03-17
0.2531198644601389,Motera,2018-01-03
0.2516276926563359,Motera,2018-01-03
0.2306966941191006,Motera,2018-01-18
0.2294933334153667,Motera,2018-01-18
0.2227943354679382,Motera,2018-01-23
0.2229403719505262,Motera,2018-01-23
0.2050043835840996,Motera,2018-02-02
0.2047949477038833,Motera,2018-02-02
0.1987694818803371,Motera,2018-02-07
0.1985987933938084,Motera,2018-02-07
0.2005846004693625,Motera,2018-02-22
0.2000599604586602,Motera,2018-02-22
0.1969968365235934,Motera,2018-02-27
