area,no2_mean,no2_min,no2_max,no2_std,no2_count,date
Isanpur,0.00012120933243931441,6.297663018512988e-05,0.0002330016634516,2.858983745375287e-05,54,2021-05-01
Isanpur,0.00011099353713779733,8.302148313515202e-05,0.0001395242659674,1.3677376049960346e-05,49,2021-06-01
Isanpur,0.00010125809489822805,5.6171695665104943e-05,0.0001396098677748,2.122942638067082e-05,54,2021-07-01
Isanpur,9.96478140602869e-05,7.013126201524153e-05,0.0001620524817863,2.2889996658633675e-05,50,2021-08-01
Isanpur,0.00010296215830199903,6.0943982393051154e-05,0.0002655016844925,3.608788330803366e-05,47,2021-09-01
Isanpur,0.00014914056558316572,8.917083285111845e-05,0.0003010962011194,3.5758988093790076e-05,52,2021-10-01
Isanpur,0.0001424340262869078,8.627931104822286e-05,0.0002996989139219,3.437428895864896e-05,54,2021-11-01
Isanpur,0.00015410735986899748,4.760693483777388e-05,0.0004366559781359,6.858015161460212e-05,51,2021-12-01
Isanpur,0.00017431240612413368,8.244471778702483e-05,0.0006042449967935,9.948181439909054e-05,49,2022-01-01
Isanpur,0.00020704929703452518,9.02216706890314e-05,0.0004149649870094,7.75757925374108e-05,46,2022-02-01
Isanpur,0.00017282074222060091,8.522963656274755e-05,0.0003542781131336,5.7255204207562033e-05,51,2022-03-01
Isanpur,0.00015073969184117595,9.596548438362127e-05,0.000254196435203,3.6425264196865046e-05,49,2022-04-01
Isanpur,0.00011381854463324944,7.221079431475663e-05,0.0001961960285361,2.539891737144731e-05,51,2022-05-01
Isanpur,0.00011234963990857814,7.522684933363419e-05,0.0002294215125626,2.9232037723141597e-05,49,2022-06-01
Isanpur,8.618217631215617e-05,3.968552150764585e-05,0.0001208036357414,2.0068378873636743e-05,50,2022-07-01
Isanpur,9.427956068984519e-05,5.3520832897110353e-05,0.0002171082451241,3.4193406622916215e-05,52,2022-08-01
Isanpur,0.00010905120866020695,7.733517925242511e-05,0.0001553351935469,1.9352115191173363e-05,50,2022-09-01
Isanpur,0.0001442989897625878,8.928869461085827e-05,0.000219397488327,3.06996167767655e-05,50,2022-10-01
Isanpur,0.00020918949827722342,0.0001018280425768,0.0003828761799788,6.122081517275964e-05,47,2022-11-01
Isanpur,0.00017890860129172364,8.117720368151864e-05,0.00047695625478,7.140759239106733e-05,78,2022-12-01
Isanpur,0.00019141129889608234,0.0001059080605555,0.0003880003923343,7.410994717345075e-05,170,2023-01-01
Isanpur,0.0002270582978084327,0.000132705681608,0.000438183080405,8.247326626733925e-05,214,2023-02-01
Isanpur,0.00017607669539271121,9.557695739204683e-05,0.0003469599659043,5.338543770212058e-05,120,2023-03-01
Isanpur,0.00015557499042064191,8.147562766680356e-05,0.0003069733514345,4.137537527578525e-05,50,2023-04-01
Isanpur,0.00014301156911721282,7.934226233367686e-05,0.0003032235795156,4.203827009660594e-05,51,2023-05-01
Isanpur,0.0001080592978837677,5.682954211322606e-05,0.0001794433877628,2.6735493317020847e-05,49,2023-06-01
